"","xh","r","p","fisrtYear","endYear","r_nino","p_nino","code","code_simple","lon","lat"
"179",311,-0.00785637129901891,0.961626079155622,1857,2005,-0.148557346759131,0.360267037828839,"ls002","ls002",103.1333,18.3333
"180",326,0.0390783717208284,0.810789651508777,1608,2004,-0.0702298404366074,0.666744538737546,"mong016","mong016",88.3667,48.6
"181",327,-0.124536225569435,0.44388564399809,1540,2005,-0.135700855880479,0.403771415823457,"mong017","mong017",91,49.9667
"182",328,-0.198641597456016,0.219157483308949,1600,2005,0.0129919885966489,0.936582233390898,"mong018","mong018",90.9833,49.9667
"183",329,0.097210124725824,0.5506868265573,1505,2004,-0.0807601952097848,0.620327507424857,"mong019","mong019",90.9667,47.1
"184",330,0.160669395612814,0.321981791903455,1709,2005,-0.246340873956218,0.125444686916267,"mong020","mong020",88.8667,48.2667
"185",334,-0.0630586782529258,0.699084421980508,1567,2004,0.093750563396474,0.565021816303294,"mong024","mong024",88.5,48.5
"186",335,-0.0168052317464656,0.918024510017101,1698,2004,-0.0284019402351005,0.861890178770718,"mong025","mong025",88.8,48.7
"187",344,-0.0538792880496535,0.741251158088397,1793,2008,0.182307870621905,0.26019880479668,"mong034","mong034",107.5727,49.41
"188",345,-0.236586101757201,0.141612556343272,1698,2008,0.123336108126625,0.448323686472432,"mong035","mong035",106.2011,49.9385
"189",346,-0.32278556411032,0.0422065294155477,1804,2008,0.241696134449907,0.132961567979259,"mong036","mong036",106.1782,50.0837
"190",347,-0.285274944286377,0.0743734642251746,1830,2008,0.176571230746488,0.275750878085829,"mong037","mong037",106.3735,50.1514
"191",348,0.0661700103563086,0.684984708991915,1719,2008,-0.214584467050633,0.183628235672829,"mong038","mong038",107.3062,49.4028
"192",349,-0.00380850007995192,0.98139236565804,256,2011,0.0890463740847894,0.584785681691396,"mong039","mong039",99.87,48.17
"193",350,0.0408004407017638,0.802613594117649,998,2005,-0.223879933272625,0.164911148962791,"mong040","mong040",99.083,51.15
"194",351,0.0169959055210819,0.917097610275914,-79,2011,0.0752398892878619,0.64449416234974,"mong041","mong041",99.87,48.17
"195",352,-0.0214530794139311,0.895463844548283,445,2013,0.226118539640772,0.160617380812388,"mong042","mong042",101.77,46.68
